PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
10010256,Newfoundland and Labrador,375,4,0.225,5,0.751,3,-0.510,2,-0.425
10010257,Newfoundland and Labrador,451,2,-0.511,4,0.420,1,-0.786,1,-0.827
10010258,Newfoundland and Labrador,544,4,-0.034,4,0.151,1,-0.750,2,-0.473
10010259,Newfoundland and Labrador,515,4,0.569,4,0.149,3,-0.450,5,0.424
10010260,Newfoundland and Labrador,500,3,-0.269,2,-0.380,2,-0.656,2,-0.415
10010261,Newfoundland and Labrador,562,4,0.091,3,0.033,4,0.157,3,-0.302
10010262,Newfoundland and Labrador,536,5,1.373,3,-0.062,5,1.902,4,0.177
10010263,Newfoundland and Labrador,573,3,-0.418,3,0.075,3,-0.426,3,-0.303
10010264,Newfoundland and Labrador,548,4,0.442,4,0.462,3,-0.392,2,-0.473
10010265,Newfoundland and Labrador,516,2,-0.602,4,0.330,3,-0.424,2,-0.526
10010266,Newfoundland and Labrador,674,4,0.354,3,-0.020,2,-0.657,3,-0.097
10010267,Newfoundland and Labrador,667,1,-1.098,4,0.295,2,-0.632,2,-0.561
10010268,Newfoundland and Labrador,262,3,-0.483,5,0.892,1,-0.837,4,0.150
10010269,Newfoundland and Labrador,992,2,-0.790,3,-0.003,1,-0.732,1,-0.722
10010270,Newfoundland and Labrador,871,3,-0.318,3,0.064,3,-0.239,2,-0.419
10010271,Newfoundland and Labrador,474,1,-1.363,2,-0.577,2,-0.575,1,-0.869
10010272,Newfoundland and Labrador,643,1,-1.160,1,-0.784,3,-0.323,1,-0.885
10010273,Newfoundland and Labrador,1427,2,-0.632,2,-0.502,2,-0.554,1,-0.840
10010276,Newfoundland and Labrador,240,4,0.037,5,0.829,4,-0.129,2,-0.478
10010277,Newfoundland and Labrador,395,4,0.238,4,0.448,2,-0.604,4,0.284
10010278,Newfoundland and Labrador,219,4,0.088,5,0.875,2,-0.569,4,0.281
10010279,Newfoundland and Labrador,783,4,-0.008,5,0.724,2,-0.719,1,-0.844
10010280,Newfoundland and Labrador,305,3,-0.490,4,0.619,2,-0.639,3,-0.091
10010281,Newfoundland and Labrador,303,4,0.242,4,0.145,4,0.264,4,0.226
10010282,Newfoundland and Labrador,576,4,0.283,4,0.415,3,-0.422,5,0.619
10010283,Newfoundland and Labrador,759,5,2.256,5,1.542,2,-0.663,2,-0.533
10010284,Newfoundland and Labrador,367,5,1.486,4,0.573,1,-0.922,3,-0.215
10010285,Newfoundland and Labrador,349,4,0.070,4,0.206,1,-0.775,2,-0.483
10010286,Newfoundland and Labrador,430,5,1.819,5,1.092,3,-0.516,3,-0.160
10010290,Newfoundland and Labrador,460,5,1.880,1,-1.566,2,-0.606,1,-0.672
10010294,Newfoundland and Labrador,292,5,1.384,1,-0.978,2,-0.605,2,-0.525
10010295,Newfoundland and Labrador,350,5,2.109,1,-1.346,3,-0.439,2,-0.404
10010296,Newfoundland and Labrador,419,5,1.143,3,-0.112,2,-0.666,2,-0.346
10010297,Newfoundland and Labrador,427,4,0.360,3,0.042,3,-0.465,3,-0.247
10010298,Newfoundland and Labrador,380,5,0.847,2,-0.429,1,-0.807,1,-0.724
10010299,Newfoundland and Labrador,487,5,1.343,2,-0.511,2,-0.554,4,0.133
10010300,Newfoundland and Labrador,355,5,1.270,5,0.735,3,-0.531,5,0.967
10010301,Newfoundland and Labrador,404,5,1.127,3,-0.265,5,1.800,5,1.430
10010302,Newfoundland and Labrador,443,5,0.992,1,-1.157,2,-0.648,4,0.200
10010303,Newfoundland and Labrador,280,5,2.364,2,-0.635,2,-0.714,5,0.928
10010304,Newfoundland and Labrador,509,5,0.908,2,-0.619,2,-0.709,4,0.282
10010305,Newfoundland and Labrador,489,5,1.373,5,1.192,1,-0.854,4,0.079
10010306,Newfoundland and Labrador,536,5,1.092,3,-0.019,2,-0.715,4,0.296
10010307,Newfoundland and Labrador,367,3,-0.068,4,0.519,1,-0.866,3,-0.172
10010308,Newfoundland and Labrador,345,5,1.397,3,-0.085,2,-0.565,5,0.604
10010309,Newfoundland and Labrador,697,4,0.603,2,-0.753,2,-0.650,1,-0.949
10010310,Newfoundland and Labrador,471,1,-1.140,3,-0.314,2,-0.682,1,-1.094
10010334,Newfoundland and Labrador,3421,4,0.536,1,-1.576,4,0.138,2,-0.486
10010337,Newfoundland and Labrador,941,5,0.837,4,0.432,4,0.223,5,1.484
10010338,Newfoundland and Labrador,512,4,0.737,3,-0.251,3,-0.266,3,-0.178
10010339,Newfoundland and Labrador,364,2,-0.740,4,0.141,2,-0.637,1,-0.902
10010340,Newfoundland and Labrador,506,2,-0.675,1,-0.856,3,-0.282,1,-0.761
10010341,Newfoundland and Labrador,331,3,-0.507,5,1.950,4,-0.104,2,-0.441
10010342,Newfoundland and Labrador,446,3,-0.185,3,0.059,4,0.068,3,-0.080
10010343,Newfoundland and Labrador,308,2,-0.723,3,-0.074,2,-0.685,1,-0.811
10010344,Newfoundland and Labrador,997,5,1.093,3,-0.206,4,0.532,2,-0.490
10010345,Newfoundland and Labrador,844,2,-0.631,2,-0.484,3,-0.210,1,-0.826
10010346,Newfoundland and Labrador,407,1,-0.949,2,-0.666,3,-0.345,1,-0.991
10010348,Newfoundland and Labrador,1317,3,-0.277,1,-1.021,2,-0.664,2,-0.570
10010356,Newfoundland and Labrador,538,5,1.802,5,5.112,1,-1.221,1,-0.877
10010357,Newfoundland and Labrador,364,2,-0.747,3,-0.038,3,-0.210,1,-0.895
10010457,Newfoundland and Labrador,453,4,0.365,3,0.072,1,-0.748,4,0.077
10010458,Newfoundland and Labrador,545,3,-0.255,1,-1.364,3,-0.465,3,-0.285
10010459,Newfoundland and Labrador,481,4,0.044,5,1.078,2,-0.681,2,-0.375
10010460,Newfoundland and Labrador,513,3,-0.337,5,0.725,1,-0.894,1,-0.834
10010461,Newfoundland and Labrador,374,3,-0.452,5,1.056,3,-0.545,3,-0.277
10010482,Newfoundland and Labrador,499,4,0.138,2,-0.780,3,-0.530,2,-0.368
10010484,Newfoundland and Labrador,856,5,1.320,4,0.390,4,-0.177,3,-0.053
10010485,Newfoundland and Labrador,493,3,-0.385,3,-0.054,2,-0.609,2,-0.507
10010486,Newfoundland and Labrador,1164,4,0.251,4,0.236,3,-0.523,3,-0.218
10010488,Newfoundland and Labrador,527,4,0.694,5,0.689,3,-0.462,4,0.023
10010489,Newfoundland and Labrador,349,2,-0.555,4,0.120,2,-0.702,2,-0.342
10010490,Newfoundland and Labrador,352,3,-0.274,3,-0.183,1,-0.739,1,-0.638
10010491,Newfoundland and Labrador,1058,4,0.021,1,-1.090,1,-0.778,2,-0.582
10010492,Newfoundland and Labrador,590,4,0.250,2,-0.571,1,-0.868,3,-0.212
10010493,Newfoundland and Labrador,375,2,-0.553,2,-0.627,1,-0.735,3,-0.055
10010494,Newfoundland and Labrador,390,3,-0.364,3,-0.057,1,-0.790,3,-0.267
10010495,Newfoundland and Labrador,346,4,-0.012,4,0.273,3,-0.432,4,0.083
10010496,Newfoundland and Labrador,442,2,-0.588,5,1.740,1,-0.758,5,0.521
10010497,Newfoundland and Labrador,452,2,-0.606,5,0.824,1,-0.769,5,0.413
10010498,Newfoundland and Labrador,515,1,-1.133,5,0.847,1,-0.782,4,0.027
10010499,Newfoundland and Labrador,196,2,-0.621,5,3.464,2,-0.697,5,1.216
10010500,Newfoundland and Labrador,631,2,-0.530,5,1.259,1,-0.782,5,0.867
10010501,Newfoundland and Labrador,353,2,-0.754,5,1.556,1,-0.786,5,0.563
10010502,Newfoundland and Labrador,307,2,-0.596,5,0.932,1,-0.909,3,-0.081
10010503,Newfoundland and Labrador,233,2,-0.547,5,2.113,1,-0.792,5,0.511
10010504,Newfoundland and Labrador,420,1,-0.929,5,1.109,2,-0.702,5,0.463
10010505,Newfoundland and Labrador,624,1,-0.949,5,1.307,1,-0.738,5,0.413
10010506,Newfoundland and Labrador,473,2,-0.745,5,1.275,1,-0.727,5,0.550
10010507,Newfoundland and Labrador,429,3,-0.219,4,0.616,2,-0.614,4,0.356
10010508,Newfoundland and Labrador,450,3,-0.482,5,1.563,2,-0.619,4,0.183
10010509,Newfoundland and Labrador,448,2,-0.724,5,1.113,2,-0.642,5,0.392
10010510,Newfoundland and Labrador,308,3,-0.288,5,0.930,1,-0.840,4,0.152
10010511,Newfoundland and Labrador,393,3,-0.466,4,0.566,1,-0.801,5,0.408
10010512,Newfoundland and Labrador,559,1,-0.985,3,-0.013,1,-0.763,4,0.201
10010513,Newfoundland and Labrador,366,3,-0.477,5,1.139,3,-0.530,3,-0.049
10010514,Newfoundland and Labrador,403,4,0.794,5,2.175,1,-0.834,5,0.425
10010515,Newfoundland and Labrador,593,3,-0.432,5,0.846,2,-0.674,4,0.375
10010516,Newfoundland and Labrador,403,3,-0.250,5,0.689,1,-0.732,5,0.506
10010517,Newfoundland and Labrador,625,2,-0.740,3,-0.064,1,-0.800,2,-0.418
10010518,Newfoundland and Labrador,539,3,-0.368,4,0.248,2,-0.714,5,0.384
10010519,Newfoundland and Labrador,454,3,-0.169,4,0.567,1,-0.736,5,0.395
10010520,Newfoundland and Labrador,294,1,-0.916,3,-0.275,2,-0.664,1,-0.623
10010521,Newfoundland and Labrador,430,2,-0.526,5,1.195,1,-0.778,2,-0.410
10010522,Newfoundland and Labrador,453,3,-0.093,5,1.560,1,-0.739,5,1.325
10010523,Newfoundland and Labrador,460,3,-0.308,5,1.994,1,-0.738,5,1.370
10010524,Newfoundland and Labrador,403,4,0.140,5,1.280,1,-0.773,5,0.707
10010525,Newfoundland and Labrador,437,1,-0.835,5,0.958,1,-0.763,3,-0.209
10010526,Newfoundland and Labrador,341,1,-0.952,4,0.370,1,-0.789,3,-0.077
10010527,Newfoundland and Labrador,471,1,-0.999,5,1.830,1,-0.744,5,0.673
10010529,Newfoundland and Labrador,448,1,-1.139,4,0.361,2,-0.645,3,-0.125
10010530,Newfoundland and Labrador,360,3,-0.238,5,0.683,1,-0.751,4,0.381
10010531,Newfoundland and Labrador,354,1,-0.857,5,1.385,1,-0.778,5,1.130
10010532,Newfoundland and Labrador,345,2,-0.640,5,2.008,1,-0.756,4,0.265
10010533,Newfoundland and Labrador,408,2,-0.726,5,1.007,2,-0.696,5,0.935
10010534,Newfoundland and Labrador,426,1,-0.909,5,1.284,2,-0.683,4,0.296
10010535,Newfoundland and Labrador,635,2,-0.706,5,0.799,1,-0.796,3,-0.109
10010536,Newfoundland and Labrador,588,2,-0.658,5,1.133,2,-0.648,4,0.226
10010537,Newfoundland and Labrador,720,2,-0.562,4,0.586,1,-0.801,4,0.037
10010538,Newfoundland and Labrador,492,1,-0.968,5,0.837,2,-0.693,4,0.119
10010539,Newfoundland and Labrador,486,3,-0.425,4,0.388,1,-0.749,3,-0.115
10010540,Newfoundland and Labrador,884,3,-0.407,3,-0.152,2,-0.628,2,-0.429
10010541,Newfoundland and Labrador,473,3,-0.354,5,0.699,2,-0.723,4,0.253
10010542,Newfoundland and Labrador,567,2,-0.614,5,0.831,2,-0.662,5,0.598
10010543,Newfoundland and Labrador,554,3,-0.409,5,1.265,1,-0.755,5,0.537
10010544,Newfoundland and Labrador,563,2,-0.685,4,0.292,2,-0.718,4,0.054
10010546,Newfoundland and Labrador,515,2,-0.649,5,0.860,2,-0.623,4,0.227
10010547,Newfoundland and Labrador,795,3,-0.343,5,0.684,2,-0.724,4,0.269
10010548,Newfoundland and Labrador,507,3,-0.463,5,1.060,1,-0.841,2,-0.493
10010549,Newfoundland and Labrador,740,2,-0.735,4,0.151,2,-0.689,4,0.244
10010550,Newfoundland and Labrador,392,3,-0.493,5,1.159,2,-0.640,5,0.643
10010551,Newfoundland and Labrador,375,3,-0.264,4,0.337,2,-0.704,5,0.448
10010552,Newfoundland and Labrador,338,3,-0.242,5,1.652,1,-0.736,5,1.317
10010553,Newfoundland and Labrador,331,2,-0.663,5,1.265,2,-0.701,3,-0.312
10010554,Newfoundland and Labrador,509,1,-0.923,5,1.104,1,-0.759,4,0.213
10010555,Newfoundland and Labrador,419,2,-0.804,5,1.311,1,-0.832,2,-0.340
10010556,Newfoundland and Labrador,250,3,-0.299,5,2.743,1,-0.902,5,0.563
10010557,Newfoundland and Labrador,314,2,-0.689,5,1.281,2,-0.697,5,0.398
10010558,Newfoundland and Labrador,421,2,-0.544,5,0.887,1,-0.778,5,0.595
10010559,Newfoundland and Labrador,360,2,-0.733,5,1.551,1,-0.741,5,0.684
10010560,Newfoundland and Labrador,742,2,-0.538,5,0.714,2,-0.630,5,0.852
10010561,Newfoundland and Labrador,394,3,-0.452,4,0.129,1,-0.747,3,-0.189
10010562,Newfoundland and Labrador,615,3,-0.100,4,0.608,1,-0.806,3,-0.270
10010563,Newfoundland and Labrador,442,2,-0.631,5,1.157,2,-0.634,4,0.122
10010564,Newfoundland and Labrador,527,2,-0.736,4,0.521,1,-0.805,3,-0.066
10010565,Newfoundland and Labrador,445,1,-0.822,5,0.729,2,-0.636,3,-0.163
10010566,Newfoundland and Labrador,625,1,-0.980,4,0.230,1,-0.736,2,-0.425
10010567,Newfoundland and Labrador,579,2,-0.522,4,0.477,1,-0.756,3,-0.237
10010568,Newfoundland and Labrador,563,1,-0.851,4,0.577,1,-0.776,4,0.208
10010569,Newfoundland and Labrador,448,1,-0.848,2,-0.437,1,-0.767,3,-0.216
10010570,Newfoundland and Labrador,588,3,-0.401,3,-0.233,2,-0.633,3,-0.155
10010571,Newfoundland and Labrador,452,2,-0.770,3,-0.051,2,-0.723,1,-0.660
10010572,Newfoundland and Labrador,1311,3,-0.296,1,-1.302,1,-0.750,1,-0.646
10010573,Newfoundland and Labrador,1138,3,-0.508,3,-0.024,1,-0.745,3,-0.097
10010574,Newfoundland and Labrador,455,3,-0.479,4,0.134,2,-0.691,3,-0.250
10010575,Newfoundland and Labrador,1502,1,-0.992,1,-0.884,1,-0.815,2,-0.604
10010576,Newfoundland and Labrador,746,2,-0.602,1,-1.086,1,-0.756,2,-0.451
10010577,Newfoundland and Labrador,461,3,-0.068,3,-0.161,1,-0.883,2,-0.374
10010578,Newfoundland and Labrador,581,2,-0.725,2,-0.510,1,-0.782,2,-0.474
10010579,Newfoundland and Labrador,1007,3,-0.464,4,0.329,2,-0.718,4,0.123
10010580,Newfoundland and Labrador,500,2,-0.549,3,-0.285,1,-0.842,2,-0.386
10010581,Newfoundland and Labrador,582,3,-0.262,2,-0.562,1,-0.786,2,-0.396
10010582,Newfoundland and Labrador,598,1,-0.941,2,-0.352,1,-0.772,2,-0.339
10010583,Newfoundland and Labrador,655,2,-0.610,3,-0.014,2,-0.636,4,0.242
10010584,Newfoundland and Labrador,1040,1,-0.895,2,-0.368,1,-0.759,2,-0.376
10010585,Newfoundland and Labrador,556,1,-0.847,3,-0.241,1,-0.789,1,-0.645
10010586,Newfoundland and Labrador,550,2,-0.562,3,-0.317,2,-0.723,4,0.042
10010587,Newfoundland and Labrador,276,3,-0.484,3,-0.199,2,-0.641,3,-0.056
10010588,Newfoundland and Labrador,664,2,-0.710,2,-0.614,3,-0.548,3,-0.317
10010589,Newfoundland and Labrador,1181,2,-0.675,2,-0.543,2,-0.698,2,-0.568
10010590,Newfoundland and Labrador,636,3,-0.202,4,0.169,1,-0.727,2,-0.399
10010591,Newfoundland and Labrador,654,2,-0.672,4,0.519,1,-0.768,4,0.132
10010592,Newfoundland and Labrador,574,1,-0.843,2,-0.425,1,-0.732,1,-0.660
10010593,Newfoundland and Labrador,573,3,-0.406,2,-0.570,1,-0.736,2,-0.514
10010594,Newfoundland and Labrador,447,2,-0.618,1,-1.579,1,-0.859,1,-0.822
10010595,Newfoundland and Labrador,439,2,-0.597,1,-1.270,1,-0.770,2,-0.526
10010596,Newfoundland and Labrador,496,2,-0.751,2,-0.687,1,-0.806,2,-0.523
10010597,Newfoundland and Labrador,487,1,-1.176,4,0.241,1,-0.745,2,-0.536
10010598,Newfoundland and Labrador,621,3,-0.378,3,0.105,1,-0.768,2,-0.336
10010599,Newfoundland and Labrador,709,2,-0.727,3,-0.199,2,-0.604,2,-0.511
10010600,Newfoundland and Labrador,618,2,-0.676,2,-0.600,1,-0.837,1,-0.812
10010601,Newfoundland and Labrador,411,3,-0.496,3,-0.161,1,-0.871,2,-0.450
10010602,Newfoundland and Labrador,1078,2,-0.565,2,-0.526,1,-0.746,2,-0.382
10010603,Newfoundland and Labrador,540,3,-0.427,4,0.610,1,-0.807,2,-0.463
10010604,Newfoundland and Labrador,508,1,-0.904,4,0.358,1,-0.771,2,-0.470
10010605,Newfoundland and Labrador,449,1,-0.976,1,-1.075,2,-0.692,2,-0.556
10010606,Newfoundland and Labrador,2713,2,-0.540,1,-1.291,1,-0.803,1,-0.698
10010607,Newfoundland and Labrador,1163,3,-0.476,1,-1.329,1,-0.822,2,-0.526
10010608,Newfoundland and Labrador,2189,3,-0.454,1,-1.223,1,-0.826,1,-0.721
10010609,Newfoundland and Labrador,967,2,-0.552,1,-1.425,1,-0.747,1,-0.982
10010610,Newfoundland and Labrador,1048,3,-0.307,1,-0.897,1,-0.777,2,-0.469
10010611,Newfoundland and Labrador,204,3,-0.132,3,-0.081,1,-0.894,1,-0.757
10010614,Newfoundland and Labrador,390,2,-0.810,1,-1.565,1,-0.828,1,-0.795
10010615,Newfoundland and Labrador,1067,2,-0.642,3,-0.201,1,-0.848,1,-0.788
10010616,Newfoundland and Labrador,371,3,-0.120,3,-0.023,1,-0.825,5,0.382
10010617,Newfoundland and Labrador,2775,3,-0.488,1,-1.366,1,-0.821,1,-0.721
10010618,Newfoundland and Labrador,629,2,-0.630,1,-1.314,1,-0.812,1,-0.820
10010619,Newfoundland and Labrador,518,2,-0.711,1,-1.085,3,-0.490,1,-0.789
10010620,Newfoundland and Labrador,606,5,0.856,5,2.598,1,-0.853,1,-0.775
10010621,Newfoundland and Labrador,531,4,0.222,1,-0.959,3,-0.530,2,-0.428
10010622,Newfoundland and Labrador,585,2,-0.549,1,-1.481,1,-0.861,2,-0.544
10010623,Newfoundland and Labrador,614,3,-0.486,2,-0.696,1,-0.790,1,-0.642
10010624,Newfoundland and Labrador,411,3,-0.250,5,0.698,1,-0.819,4,-0.038
10010625,Newfoundland and Labrador,396,3,-0.212,4,0.538,2,-0.716,3,-0.045
10010626,Newfoundland and Labrador,440,3,-0.387,4,0.136,1,-0.844,3,-0.120
10010627,Newfoundland and Labrador,457,3,-0.407,4,0.407,3,-0.278,2,-0.481
10010628,Newfoundland and Labrador,404,4,0.008,5,0.730,1,-0.827,4,0.297
10010629,Newfoundland and Labrador,1100,3,-0.226,3,-0.153,1,-0.743,3,-0.250
10010630,Newfoundland and Labrador,370,2,-0.687,5,0.727,2,-0.691,5,0.390
10010631,Newfoundland and Labrador,196,3,-0.268,4,0.409,2,-0.662,4,-0.024
10010632,Newfoundland and Labrador,827,3,-0.493,2,-0.348,1,-0.749,3,-0.329
10010633,Newfoundland and Labrador,678,3,-0.115,3,-0.111,1,-0.774,3,-0.048
10010634,Newfoundland and Labrador,854,2,-0.600,2,-0.419,2,-0.722,2,-0.439
10010635,Newfoundland and Labrador,357,3,-0.342,2,-0.676,1,-0.838,1,-0.735
10010636,Newfoundland and Labrador,771,3,-0.454,2,-0.710,1,-0.747,2,-0.438
10010637,Newfoundland and Labrador,669,4,0.026,1,-1.194,1,-0.794,3,-0.240
10010638,Newfoundland and Labrador,452,1,-0.846,4,0.200,1,-0.855,3,-0.170
10010639,Newfoundland and Labrador,365,3,-0.308,4,0.219,3,-0.406,2,-0.513
10010640,Newfoundland and Labrador,343,3,-0.306,3,0.069,1,-0.803,3,-0.202
10010641,Newfoundland and Labrador,344,1,-0.848,1,-1.048,1,-0.755,3,-0.230
10010642,Newfoundland and Labrador,515,2,-0.709,3,-0.287,1,-0.762,3,-0.052
10010643,Newfoundland and Labrador,520,3,-0.140,5,0.880,2,-0.588,4,0.097
10010644,Newfoundland and Labrador,1266,3,-0.399,1,-1.512,1,-0.761,1,-0.948
10010645,Newfoundland and Labrador,419,3,-0.352,3,-0.121,2,-0.663,4,0.081
10010646,Newfoundland and Labrador,647,3,-0.232,5,1.197,2,-0.670,3,-0.153
10010647,Newfoundland and Labrador,406,3,-0.219,4,0.507,1,-0.789,5,0.564
10010648,Newfoundland and Labrador,313,2,-0.671,4,0.445,1,-0.828,2,-0.373
10010649,Newfoundland and Labrador,281,3,-0.433,5,0.704,1,-0.916,1,-0.641
